Date,Close
2025-01-02,83.21
2025-01-03,83.19
2025-01-06,83.75
2025-01-07,83.7
2025-01-08,84.16
2025-01-10,83.3
2025-01-13,85.16
2025-01-14,86.22
2025-01-15,87.04
2025-01-16,87.76
2025-01-17,88.33
2025-01-21,89.46
2025-01-22,88.74
2025-01-23,89.23
2025-01-24,89.0
2025-01-27,89.05
2025-01-28,88.76
2025-01-29,88.6
2025-01-30,89.44
2025-01-31,88.79
2025-02-03,88.88
2025-02-04,89.14
2025-02-05,89.07
2025-02-06,89.38
2025-02-07,88.29
2025-02-10,88.74
2025-02-11,89.26
2025-02-12,88.62
2025-02-13,90.16
2025-02-14,89.85
2025-02-18,90.99
2025-02-19,89.92
2025-02-20,89.71
2025-02-21,88.07
2025-02-24,87.97
2025-02-25,88.65
2025-02-26,88.61
2025-02-27,88.01
2025-02-28,88.76
2025-03-03,86.98
2025-03-04,85.8
2025-03-05,88.04
2025-03-06,87.58
2025-03-07,87.82
2025-03-10,85.99
2025-03-11,85.33
2025-03-12,84.93
2025-03-13,84.87
2025-03-14,85.98
2025-03-17,87.06
2025-03-18,86.91
2025-03-19,87.2
2025-03-20,86.65
2025-03-21,85.79
2025-03-24,86.54
2025-03-25,86.52
2025-03-26,86.68
2025-03-27,86.64
2025-03-28,85.05
2025-03-31,85.98
2025-04-01,86.3
2025-04-02,87.01
2025-04-03,83.08
2025-04-04,77.88
2025-04-07,76.63
2025-04-08,74.27
2025-04-09,80.76
2025-04-10,78.18
2025-04-11,80.5
2025-04-14,81.47
2025-04-15,80.83
2025-04-16,80.2
2025-04-17,80.75
2025-04-21,79.52
2025-04-22,81.38
2025-04-23,81.48
2025-04-24,83.24
2025-04-25,82.62
2025-04-28,82.77
2025-04-29,83.46
2025-04-30,83.89
2025-05-01,83.52
2025-05-02,84.93
2025-05-05,84.3
2025-05-06,83.69
2025-05-07,83.23
2025-05-08,84.34
2025-05-09,84.56
2025-05-12,86.52
2025-05-13,86.09
2025-05-14,85.3
2025-05-15,86.17
2025-05-16,87.05
2025-05-19,87.27
2025-05-20,87.12
2025-05-21,85.96
2025-05-22,85.87
2025-05-23,85.7
2025-05-27,87.2
2025-05-28,86.01
2025-05-29,86.33
2025-05-30,86.34
2025-06-02,86.85
2025-06-03,87.74
2025-06-04,88.07
2025-06-05,87.55
2025-06-06,87.78
2025-06-09,88.37
2025-06-10,88.92
2025-06-11,88.04
2025-06-12,88.41
2025-06-13,87.38
2025-06-16,88.12
2025-06-17,87.26
2025-06-18,87.01
2025-06-20,86.42
2025-06-23,86.94
2025-06-24,87.66
2025-06-25,86.82
2025-06-26,87.78
2025-06-27,87.89
2025-06-30,87.81
2025-07-01,90.08
2025-07-02,91.43
2025-07-03,91.37
2025-07-07,90.49
2025-07-08,91.23
2025-07-09,91.78
2025-07-10,92.27
2025-07-11,91.52
2025-07-14,91.01
2025-07-15,89.14
2025-07-16,89.38
2025-07-17,90.01
2025-07-18,90.22
2025-07-21,90.68
2025-07-22,91.93
2025-07-23,92.24
2025-07-24,91.29
2025-07-25,92.37
2025-07-28,91.03
2025-07-29,90.68
2025-07-30,88.85
2025-07-31,87.73
2025-08-01,86.72
2025-08-04,87.87
2025-08-05,88.49
2025-08-06,87.53
2025-08-07,87.91
2025-08-08,88.35
2025-08-11,88.15
2025-08-12,89.3
2025-08-13,90.98
2025-08-14,89.48
