Date,Close
2025-01-02,97.28
2025-01-03,97.88
2025-01-06,98.94
2025-01-07,97.84
2025-01-08,97.26
2025-01-10,95.81
2025-01-13,95.85
2025-01-14,95.53
2025-01-15,97.1
2025-01-16,96.55
2025-01-17,97.39
2025-01-21,98.27
2025-01-22,99.25
2025-01-23,99.51
2025-01-24,100.41
2025-01-27,100.93
2025-01-28,101.42
2025-01-29,101.87
2025-01-30,101.97
2025-01-31,102.38
2025-02-03,102.6
2025-02-04,103.52
2025-02-05,102.52
2025-02-06,102.96
2025-02-07,102.74
2025-02-10,103.2
2025-02-11,103.37
2025-02-12,103.48
2025-02-13,104.67
2025-02-14,105.31
2025-02-18,104.82
2025-02-19,104.94
2025-02-20,104.45
2025-02-21,103.02
2025-02-24,103.22
2025-02-25,101.69
2025-02-26,101.51
2025-02-27,100.53
2025-02-28,102.0
2025-03-03,100.98
2025-03-04,100.18
2025-03-05,101.47
2025-03-06,99.65
2025-03-07,100.29
2025-03-10,97.79
2025-03-11,96.35
2025-03-12,96.83
2025-03-13,94.84
2025-03-14,96.58
2025-03-17,97.27
2025-03-18,95.91
2025-03-19,97.05
2025-03-20,96.84
2025-03-21,97.6
2025-03-24,98.69
2025-03-25,99.94
2025-03-26,99.09
2025-03-27,98.65
2025-03-28,95.74
2025-03-31,96.45
2025-04-01,96.51
2025-04-02,96.85
2025-04-03,92.53
2025-04-04,87.23
2025-04-07,87.35
2025-04-08,86.13
2025-04-09,93.74
2025-04-10,90.5
2025-04-11,91.27
2025-04-14,91.88
2025-04-15,92.11
2025-04-16,89.63
2025-04-17,90.21
2025-04-21,88.18
2025-04-22,90.48
2025-04-23,91.93
2025-04-24,93.77
2025-04-25,94.36
2025-04-28,94.72
2025-04-29,95.41
2025-04-30,95.44
2025-05-01,95.93
2025-05-02,97.42
2025-05-05,97.65
2025-05-06,97.63
2025-05-07,97.45
2025-05-08,97.68
2025-05-09,97.18
2025-05-12,99.2
2025-05-13,100.17
2025-05-14,100.69
2025-05-15,101.09
2025-05-16,101.78
2025-05-19,101.88
2025-05-20,101.63
2025-05-21,100.87
2025-05-22,100.65
2025-05-23,100.19
2025-05-27,101.82
2025-05-28,101.8
2025-05-29,100.98
2025-05-30,101.4
2025-06-02,101.9
2025-06-03,101.61
2025-06-04,102.26
2025-06-05,102.4
2025-06-06,103.71
2025-06-09,103.41
2025-06-10,104.72
2025-06-11,104.48
2025-06-12,103.63
2025-06-13,102.58
2025-06-16,104.34
2025-06-17,103.42
2025-06-18,103.47
2025-06-20,102.84
2025-06-23,103.89
2025-06-24,105.23
2025-06-25,105.21
2025-06-26,106.43
2025-06-27,107.68
2025-06-30,108.53
2025-07-01,107.76
2025-07-02,107.45
2025-07-03,108.04
2025-07-07,107.0
2025-07-08,106.78
2025-07-09,107.06
2025-07-10,106.7
2025-07-11,106.01
2025-07-14,107.05
2025-07-15,105.99
2025-07-16,106.31
2025-07-17,106.68
2025-07-18,106.19
2025-07-21,107.61
2025-07-22,107.86
2025-07-23,108.45
2025-07-24,108.63
2025-07-25,107.62
2025-07-28,107.04
2025-07-29,106.12
2025-07-30,106.45
2025-07-31,107.41
2025-08-01,106.12
2025-08-04,108.16
2025-08-05,107.32
2025-08-06,107.73
2025-08-07,107.27
2025-08-08,107.63
2025-08-11,108.18
2025-08-12,110.25
2025-08-13,111.11
2025-08-14,111.04
