Date,Close
2025-01-02,86.66
2025-01-03,87.47
2025-01-06,87.07
2025-01-07,87.94
2025-01-08,88.03
2025-01-10,88.39
2025-01-13,90.25
2025-01-14,91.22
2025-01-15,92.57
2025-01-16,93.24
2025-01-17,93.96
2025-01-21,93.48
2025-01-22,91.78
2025-01-23,92.2
2025-01-24,91.31
2025-01-27,90.36
2025-01-28,89.5
2025-01-29,89.7
2025-01-30,90.16
2025-01-31,87.64
2025-02-03,88.19
2025-02-04,90.04
2025-02-05,90.23
2025-02-06,88.57
2025-02-07,88.56
2025-02-10,90.51
2025-02-11,91.24
2025-02-12,89.04
2025-02-13,89.71
2025-02-14,90.07
2025-02-18,91.3
2025-02-19,92.02
2025-02-20,92.86
2025-02-21,90.93
2025-02-24,90.95
2025-02-25,89.64
2025-02-26,89.13
2025-02-27,89.61
2025-02-28,91.0
2025-03-03,87.82
2025-03-04,86.97
2025-03-05,85.7
2025-03-06,85.96
2025-03-07,87.43
2025-03-10,88.08
2025-03-11,87.38
2025-03-12,87.78
2025-03-13,87.18
2025-03-14,89.76
2025-03-17,91.19
2025-03-18,91.34
2025-03-19,92.83
2025-03-20,93.17
2025-03-21,92.52
2025-03-24,92.85
2025-03-25,93.23
2025-03-26,93.78
2025-03-27,92.87
2025-03-28,92.43
2025-03-31,93.45
2025-04-01,94.0
2025-04-02,94.13
2025-04-03,86.74
2025-04-04,78.76
2025-04-07,78.25
2025-04-08,76.44
2025-04-09,82.36
2025-04-10,76.98
2025-04-11,78.89
2025-04-14,79.17
2025-04-15,79.05
2025-04-16,79.7
2025-04-17,81.5
2025-04-21,79.37
2025-04-22,81.39
2025-04-23,81.24
2025-04-24,82.54
2025-04-25,82.39
2025-04-28,82.97
2025-04-29,82.73
2025-04-30,80.5
2025-05-01,80.8
2025-05-02,81.98
2025-05-05,80.5
2025-05-06,80.52
2025-05-07,80.55
2025-05-08,81.61
2025-05-09,82.43
2025-05-12,84.58
2025-05-13,85.77
2025-05-14,85.25
2025-05-15,85.61
2025-05-16,85.48
2025-05-19,84.37
2025-05-20,83.59
2025-05-21,82.05
2025-05-22,81.73
2025-05-23,81.99
2025-05-27,82.7
2025-05-28,81.65
2025-05-29,82.26
2025-05-30,81.53
2025-06-02,82.6
2025-06-03,83.58
2025-06-04,81.95
2025-06-05,81.87
2025-06-06,83.41
2025-06-09,83.57
2025-06-10,85.06
2025-06-11,86.29
2025-06-12,86.59
2025-06-13,88.1
2025-06-16,87.84
2025-06-17,88.66
2025-06-18,88.08
2025-06-20,88.98
2025-06-23,86.03
2025-06-24,84.91
2025-06-25,84.54
2025-06-26,85.75
2025-06-27,85.3
2025-06-30,84.81
2025-07-01,85.46
2025-07-02,86.93
2025-07-03,87.03
2025-07-07,86.19
2025-07-08,88.51
2025-07-09,88.06
2025-07-10,88.73
2025-07-11,89.13
2025-07-14,88.15
2025-07-15,86.88
2025-07-16,86.13
2025-07-17,86.66
2025-07-18,85.96
2025-07-21,85.07
2025-07-22,85.47
2025-07-23,86.81
2025-07-24,87.43
2025-07-25,87.1
2025-07-28,88.09
2025-07-29,88.95
2025-07-30,87.68
2025-07-31,87.21
2025-08-01,85.59
2025-08-04,85.4
2025-08-05,85.51
2025-08-06,84.72
2025-08-07,84.39
2025-08-08,84.93
2025-08-11,84.25
2025-08-12,84.66
2025-08-13,85.64
2025-08-14,84.9
