Date,Close
2025-01-02,48.21
2025-01-03,48.59
2025-01-06,48.44
2025-01-07,48.33
2025-01-08,48.49
2025-01-10,47.32
2025-01-13,47.66
2025-01-14,48.25
2025-01-15,49.48
2025-01-16,49.81
2025-01-17,50.23
2025-01-21,50.65
2025-01-22,50.41
2025-01-23,50.7
2025-01-24,50.85
2025-01-27,51.41
2025-01-28,51.32
2025-01-29,51.28
2025-01-30,51.77
2025-01-31,51.47
2025-02-03,51.26
2025-02-04,51.14
2025-02-05,51.68
2025-02-06,52.11
2025-02-07,51.82
2025-02-10,51.41
2025-02-11,51.54
2025-02-12,51.36
2025-02-13,51.7
2025-02-14,51.8
2025-02-18,52.17
2025-02-19,52.19
2025-02-20,51.39
2025-02-21,50.75
2025-02-24,50.97
2025-02-25,50.96
2025-02-26,50.85
2025-02-27,51.13
2025-02-28,52.18
2025-03-03,51.74
2025-03-04,49.92
2025-03-05,50.21
2025-03-06,49.38
2025-03-07,49.12
2025-03-10,48.02
2025-03-11,47.61
2025-03-12,47.68
2025-03-13,47.42
2025-03-14,48.52
2025-03-17,49.09
2025-03-18,49.03
2025-03-19,49.57
2025-03-20,49.64
2025-03-21,49.46
2025-03-24,50.15
2025-03-25,50.43
2025-03-26,50.28
2025-03-27,50.18
2025-03-28,49.21
2025-03-31,49.81
2025-04-01,49.75
2025-04-02,50.16
2025-04-03,47.69
2025-04-04,44.2
2025-04-07,44.09
2025-04-08,43.92
2025-04-09,47.23
2025-04-10,45.91
2025-04-11,46.67
2025-04-14,47.15
2025-04-15,47.27
2025-04-16,46.53
2025-04-17,46.65
2025-04-21,45.65
2025-04-22,47.16
2025-04-23,47.72
2025-04-24,48.25
2025-04-25,48.02
2025-04-28,48.17
2025-04-29,48.67
2025-04-30,48.76
2025-05-01,48.75
2025-05-02,49.76
2025-05-05,49.44
2025-05-06,49.16
2025-05-07,49.45
2025-05-08,49.86
2025-05-09,49.86
2025-05-12,50.87
2025-05-13,51.08
2025-05-14,50.94
2025-05-15,51.28
2025-05-16,51.59
2025-05-19,51.62
2025-05-20,51.34
2025-05-21,50.29
2025-05-22,50.23
2025-05-23,50.05
2025-05-27,50.93
2025-05-28,50.59
2025-05-29,50.85
2025-05-30,50.96
2025-06-02,50.98
2025-06-03,51.08
2025-06-04,50.79
2025-06-05,50.65
2025-06-06,51.28
2025-06-09,51.0
2025-06-10,51.06
2025-06-11,51.0
2025-06-12,51.0
2025-06-13,49.96
2025-06-16,50.53
2025-06-17,50.24
2025-06-18,50.22
2025-06-20,50.36
2025-06-23,50.82
2025-06-24,51.58
2025-06-25,51.41
2025-06-26,51.79
2025-06-27,51.94
2025-06-30,52.37
2025-07-01,52.66
2025-07-02,52.62
2025-07-03,53.19
2025-07-07,52.68
2025-07-08,52.21
2025-07-09,52.4
2025-07-10,52.71
2025-07-11,52.16
2025-07-14,52.55
2025-07-15,51.65
2025-07-16,52.01
2025-07-17,52.51
2025-07-18,52.54
2025-07-21,52.39
2025-07-22,52.68
2025-07-23,53.1
2025-07-24,53.07
2025-07-25,53.44
2025-07-28,53.07
2025-07-29,52.8
2025-07-30,52.7
2025-07-31,52.37
2025-08-01,51.4
2025-08-04,51.91
2025-08-05,51.7
2025-08-06,51.95
2025-08-07,51.37
2025-08-08,51.85
2025-08-11,51.83
2025-08-12,52.46
2025-08-13,52.76
2025-08-14,52.67
