Date,Close
2025-01-02,76.27
2025-01-03,77.08
2025-01-06,76.22
2025-01-07,76.03
2025-01-08,76.01
2025-01-10,75.58
2025-01-13,74.7
2025-01-14,75.68
2025-01-15,76.79
2025-01-16,78.73
2025-01-17,78.84
2025-01-21,80.05
2025-01-22,78.32
2025-01-23,78.69
2025-01-24,79.49
2025-01-27,77.65
2025-01-28,76.58
2025-01-29,76.74
2025-01-30,78.34
2025-01-31,77.88
2025-02-03,78.3
2025-02-04,77.61
2025-02-05,78.39
2025-02-06,78.3
2025-02-07,78.14
2025-02-10,78.99
2025-02-11,79.39
2025-02-12,79.25
2025-02-13,79.43
2025-02-14,79.1
2025-02-18,79.84
2025-02-19,80.26
2025-02-20,80.25
2025-02-21,80.27
2025-02-24,79.87
2025-02-25,79.47
2025-02-26,79.8
2025-02-27,78.03
2025-02-28,79.22
2025-03-03,79.33
2025-03-04,78.04
2025-03-05,77.49
2025-03-06,75.88
2025-03-07,77.29
2025-03-10,78.14
2025-03-11,77.41
2025-03-12,77.17
2025-03-13,77.36
2025-03-14,78.87
2025-03-17,79.2
2025-03-18,78.65
2025-03-19,78.94
2025-03-20,79.26
2025-03-21,78.75
2025-03-24,78.17
2025-03-25,76.92
2025-03-26,77.43
2025-03-27,77.41
2025-03-28,77.98
2025-03-31,78.85
2025-04-01,79.05
2025-04-02,79.42
2025-04-03,78.92
2025-04-04,74.53
2025-04-07,73.39
2025-04-08,73.09
2025-04-09,75.97
2025-04-10,75.4
2025-04-11,76.32
2025-04-14,77.69
2025-04-15,77.68
2025-04-16,76.98
2025-04-17,77.77
2025-04-21,75.93
2025-04-22,78.0
2025-04-23,78.33
2025-04-24,78.45
2025-04-25,78.21
2025-04-28,78.69
2025-04-29,79.3
2025-04-30,78.9
2025-05-01,79.13
2025-05-02,79.75
2025-05-05,79.55
2025-05-06,80.52
2025-05-07,80.75
2025-05-08,80.1
2025-05-09,80.24
2025-05-12,79.76
2025-05-13,79.65
2025-05-14,79.3
2025-05-15,80.99
2025-05-16,82.18
2025-05-19,82.53
2025-05-20,82.77
2025-05-21,81.26
2025-05-22,80.1
2025-05-23,81.06
2025-05-27,81.67
2025-05-28,80.53
2025-05-29,81.09
2025-05-30,81.92
2025-06-02,82.18
2025-06-03,82.4
2025-06-04,80.96
2025-06-05,80.83
2025-06-06,81.19
2025-06-09,80.67
2025-06-10,80.86
2025-06-11,80.91
2025-06-12,81.89
2025-06-13,81.42
2025-06-16,81.02
2025-06-17,80.35
2025-06-18,80.56
2025-06-20,80.78
2025-06-23,81.24
2025-06-24,81.59
2025-06-25,80.5
2025-06-26,81.17
2025-06-27,81.33
2025-06-30,81.66
2025-07-01,81.94
2025-07-02,81.23
2025-07-03,81.84
2025-07-07,82.01
2025-07-08,81.14
2025-07-09,81.9
2025-07-10,82.57
2025-07-11,82.45
2025-07-14,82.78
2025-07-15,81.99
2025-07-16,82.03
2025-07-17,82.37
2025-07-18,83.75
2025-07-21,84.02
2025-07-22,85.05
2025-07-23,84.41
2025-07-24,84.3
2025-07-25,84.52
2025-07-28,83.62
2025-07-29,84.58
2025-07-30,85.21
2025-07-31,85.67
2025-08-01,85.8
2025-08-04,87.32
2025-08-05,86.39
2025-08-06,85.62
2025-08-07,86.55
2025-08-08,86.18
2025-08-11,85.91
2025-08-12,86.28
2025-08-13,86.47
2025-08-14,86.03
