Date,Close
2025-01-02,137.61
2025-01-03,138.96
2025-01-06,139.02
2025-01-07,139.71
2025-01-08,140.43
2025-01-10,139.64
2025-01-13,141.46
2025-01-14,140.0
2025-01-15,140.57
2025-01-16,141.13
2025-01-17,140.18
2025-01-21,142.5
2025-01-22,142.18
2025-01-23,144.08
2025-01-24,144.31
2025-01-27,147.55
2025-01-28,146.52
2025-01-29,145.66
2025-01-30,147.34
2025-01-31,146.87
2025-02-03,147.44
2025-02-04,147.04
2025-02-05,148.45
2025-02-06,147.12
2025-02-07,146.43
2025-02-10,146.3
2025-02-11,146.03
2025-02-12,145.82
2025-02-13,146.39
2025-02-14,144.8
2025-02-18,144.52
2025-02-19,146.4
2025-02-20,147.22
2025-02-21,146.43
2025-02-24,147.62
2025-02-25,148.89
2025-02-26,147.82
2025-02-27,147.22
2025-02-28,148.93
2025-03-03,149.58
2025-03-04,148.19
2025-03-05,149.68
2025-03-06,149.27
2025-03-07,149.28
2025-03-10,147.67
2025-03-11,146.06
2025-03-12,144.6
2025-03-13,143.83
2025-03-14,144.93
2025-03-17,146.77
2025-03-18,146.84
2025-03-19,146.92
2025-03-20,147.01
2025-03-21,146.6
2025-03-24,147.15
2025-03-25,145.27
2025-03-26,144.74
2025-03-27,144.97
2025-03-28,144.52
2025-03-31,146.01
2025-04-01,143.34
2025-04-02,144.3
2025-04-03,143.13
2025-04-04,135.28
2025-04-07,134.47
2025-04-08,132.98
2025-04-09,138.76
2025-04-10,134.89
2025-04-11,136.87
2025-04-14,138.54
2025-04-15,137.69
2025-04-16,136.29
2025-04-17,135.49
2025-04-21,132.57
2025-04-22,135.06
2025-04-23,135.73
2025-04-24,137.39
2025-04-25,138.05
2025-04-28,138.6
2025-04-29,139.28
2025-04-30,140.47
2025-05-01,136.64
2025-05-02,138.53
2025-05-05,138.14
2025-05-06,134.33
2025-05-07,135.36
2025-05-08,134.14
2025-05-09,132.68
2025-05-12,135.96
2025-05-13,131.87
2025-05-14,128.77
2025-05-15,130.46
2025-05-16,133.09
2025-05-19,134.37
2025-05-20,134.7
2025-05-21,131.58
2025-05-22,130.55
2025-05-23,130.34
2025-05-27,132.16
2025-05-28,131.48
2025-05-29,132.36
2025-05-30,132.64
2025-06-02,132.72
2025-06-03,133.03
2025-06-04,133.29
2025-06-05,133.11
2025-06-06,134.38
2025-06-09,134.15
2025-06-10,135.68
2025-06-11,135.75
2025-06-12,136.81
2025-06-13,136.13
2025-06-16,135.71
2025-06-17,133.47
2025-06-18,133.24
2025-06-20,132.6
2025-06-23,132.16
2025-06-24,133.78
2025-06-25,133.9
2025-06-26,134.22
2025-06-27,133.93
2025-06-30,134.79
2025-07-01,136.71
2025-07-02,135.36
2025-07-03,135.5
2025-07-07,134.36
2025-07-08,134.97
2025-07-09,135.49
2025-07-10,136.32
2025-07-11,135.19
2025-07-14,135.03
2025-07-15,132.6
2025-07-16,134.25
2025-07-17,132.72
2025-07-18,131.84
2025-07-21,131.09
2025-07-22,133.53
2025-07-23,136.27
2025-07-24,135.76
2025-07-25,136.48
2025-07-28,135.29
2025-07-29,134.43
2025-07-30,134.19
2025-07-31,130.43
2025-08-01,131.13
2025-08-04,133.01
2025-08-05,132.5
2025-08-06,130.51
2025-08-07,129.01
2025-08-08,130.16
2025-08-11,130.29
2025-08-12,131.19
2025-08-13,133.29
2025-08-14,132.84
